g6,n,edges,alpha,theta,gap,ratio,status
THOXK_J?Mc?JhHsCTAAI_CGGADLO_??T`B?J,21,58,6,8.1147473892,2.1147473892,1.3524578982,Solved
THoWM_BScGsOATc_CEH?U?PKW?HCCMH?d?l?,21,58,6,8.1147372977,2.1147372977,1.3524562163,Solved
THoOC_JSdHcOPPATGX@@Ec?Ke@MG?_ODG?cJ,21,58,6,8.1147203998,2.1147203998,1.3524534,Solved
THOXG_JhKCT??t?HI?XOUPOQY?I?aG@XOD?R,21,58,6,8.1147191344,2.1147191344,1.3524531891,Solved
THOXK_J?Mc?JhHsCTAAI_?AkADDO?I`@GB?J,21,58,6,8.1146506467,2.1146506467,1.3524417744,Solved
THO\I__c?FWchO?E_]C_AIBKGaOCIKp?DCW@,21,58,6,8.1146163714,2.1146163714,1.3524360619,Solved
THOWG?JSdHsOPPs?CCIIHACib??CQo`CCHS@,21,57,6,8.1146068389,2.1146068389,1.3524344731,Solved
THoWK?JScHsOPOs_CCII@ACgaGW?Y`Q_EOAD,21,58,6,8.114603225,2.114603225,1.3524338708,Solved
THoWK_JSdHsOADc??ChCEOQGdO_@EMG@_Y?I,21,58,6,8.1144648112,2.1144648112,1.3524108019,Solved
THO\EagE?DchoDE_Ga?BBPAEg?G@BG_CgBOJ,21,58,6,8.1144175655,2.1144175655,1.3524029276,Solved
TH?WE_J@Mc?Bh@ocTA?M@CHSJCD?_goID?Ak,21,58,6,8.1142913484,2.1142913484,1.3523818914,Solved
THOWC_JSdHsOADc??ChCEOQGdOa@EMG@_Y?I,21,57,6,8.1142755808,2.1142755808,1.3523792635,Solved
THO\EagE?DchoDE_Ga?BBPAEg?G@BG_SgBOJ,21,59,6,8.1142439491,2.1142439491,1.3523739915,Solved
THOXK_J?IC@JhHscT?AI_CAmgWAI`?CGS?gp,21,60,6,8.114192533,2.114192533,1.3523654222,Solved
THOXK_J?Mc@JhHsCTAAI_C?gADLO_GE?S?gp,21,59,6,8.1141318809,2.1141318809,1.3523553135,Solved
THO[M_geAC_LsGI??YWBQ_@PCOWs?o?KKcG`,21,58,6,8.1140853096,2.1140853096,1.3523475516,Solved
THOPG_H?McT?pG?FwaAEAeCCBU@AAOo@gCkB,21,58,6,8.1140025829,2.1140025829,1.3523337638,Solved
THOXK_J?AC@JhHsCT?AI_CAmgWAI`CCGS?`p,21,59,6,8.1139949174,2.1139949174,1.3523324862,Solved
THO[M_geAC_LsGI??YWBQ_@PCOWs?o?MKcG`,21,59,6,8.1139660188,2.1139660188,1.3523276698,Solved
THOXK_J?Kc?JhHsCTAAI_CGGADLO_G?T`B?J,21,58,6,8.1139078772,2.1139078772,1.3523179795,Solved
THOXK_J?Kc?JhHsCTAAI_C?kADLO_IE?S?gp,21,59,6,8.1138990596,2.1138990596,1.3523165099,Solved
THO\M_geAC_hsGI??YGBQ_@PCOWs?o?KMCg`,21,59,6,8.1138799971,2.1138799971,1.3523133329,Solved
THOWK_J?Mc@BhHsCTAAI_??kADII_GEIAg?B,21,57,6,8.1138691995,2.1138691995,1.3523115333,Solved
THoWC_JSdHsOPPADQ?@?FPGCf??@DIAR?Q?J,21,57,6,8.1138581047,2.1138581047,1.3523096841,Solved
THO\M__c?FocOG?BC_WcCAWKYBAG_PAGmG`O,21,57,6,8.1138502248,2.1138502248,1.3523083708,Solved
THO[M_geAC_lsGI??YWBQ_@PCOWs?O?KKcG`,21,58,6,8.1137921523,2.1137921523,1.3522986921,Solved
THOWG_JOdHsOPOs_C?WAX`KIi??`K??A{HS@,21,57,6,8.1137459353,2.1137459353,1.3522909892,Solved
THoWC_BSDHcOPOo_CCWQX`DG`@M`G?CCkGUC,21,58,6,8.1137236875,2.1137236875,1.3522872812,Solved
T@?WK_JhMcT?SdXOY??QoG_K?kGCBaI?IGAJ,21,58,6,8.1137123083,2.1137123083,1.3522853847,Solved
T@?WK_JhMcT?SdXOY??QoG_K?kGCBbI?IGAJ,21,59,6,8.1136388306,2.1136388306,1.3522731384,Solved
THOWC_BSDHsOP@c_c?GUP?LJE?GM`@OASOac,21,57,6,8.1136322468,2.1136322468,1.3522720411,Solved
THOKMa_CADchoDC__kHC`aATS_OVC@G_UGCC,21,59,6,8.1136220298,2.1136220298,1.3522703383,Solved
THO[M_geAC_lsGI??YWBQ_@PCOWs?O?MKcG`,21,59,6,8.1136092325,2.1136092325,1.3522682054,Solved
THOWK?JSCHsOPPs_CC?OZaCG_JIE?oQ_IO?b,21,57,6,8.1135712345,2.1135712345,1.3522618724,Solved
THoWK_JS@HS?_AE@ggHSC?FFQ?H@`?Eq?CEF,21,57,6,8.1135627503,2.1135627503,1.3522604584,Solved
THOXK_J?AC@JhHsCT?AI_CAmgWAI`CCGC?hp,21,59,6,8.1135212274,2.1135212274,1.3522535379,Solved
T@OLAageAC_hp?x?@WG@d@oCgIG`PB?gSQDS,21,59,6,8.1134475067,2.1134475067,1.3522412511,Solved
T@?WK_JhMcT?SdXOY??QoG_K?kKOEBI?GA?r,21,58,6,8.1134279641,2.1134279641,1.352237994,Solved
T@?WK_JhMcT?SdPOYC?Q_G_K?gKOEJI?GADp,21,58,6,8.1134125531,2.1134125531,1.3522354255,Solved
T@?WK_JhMcT?SdXOYC?Q_?_K?lCOCXC@hDCG,21,58,6,8.1133788863,2.1133788863,1.3522298144,Solved
THOWG?JSdHsOPPs?CCIIHACib??CQoQi?OAF,21,58,6,8.1133113165,2.1133113165,1.3522185527,Solved
T@?WK_JhMcT?SdPOYC?Q_G_K?kKOEJI?GADp,21,59,6,8.1133110603,2.1133110603,1.35221851,Solved
THO\I_ga?FwchO?_r@HAiOCQ?_Y`a?EGO?IF,21,59,6,8.1132322187,2.1132322187,1.3522053698,Solved
THOXK_J?IC@BhHscD?AI_CAmgWAG`CCGC?`t,21,58,6,8.1131132889,2.1131132889,1.3521855481,Solved
THOWE_AGKcT?pG?Ewa?sA?t_f@?`HGJI?_?Z,21,57,6,8.1130985383,2.1130985383,1.3521830897,Solved
THOXK_J?IC@BhHscD?AI_CAmgWAG`CCGS?`t,21,59,6,8.1130963403,2.1130963403,1.3521827234,Solved
THoGG?JOcHsOADs_wg?`HgSCZ??ig@@D@?GT,21,57,6,8.1130915907,2.1130915907,1.3521819318,Solved
THoWC_JSdHcOPPATGX@@Ec?Ke@MG?_ODG?cB,21,58,6,8.1130008193,2.1130008193,1.3521668032,Solved
THOXK_J?Mc?JhHsCTAAI_?AkADLO_?`@GB?J,21,58,6,8.1129901281,2.1129901281,1.3521650214,Solved
THO\I_ga?Bwcs?@SC@WCEaOG?SWoHaGOSBaD,21,58,6,8.1129554503,2.1129554503,1.3521592417,Solved
THOWK?JSdHsOPO?DSCWOUPOOA?w`KKc?_h@@,21,57,6,8.1129513466,2.1129513466,1.3521585578,Solved
T@OWM?JGEC@AhHScTO?`P@SDQCCH_GAJCgGH,21,56,6,8.1129477782,2.1129477782,1.352157963,Solved
T@?WK_JhMcT?SdXOYC?Q_G_K?lCOCPC@hD?B,21,58,6,8.1129068203,2.1129068203,1.3521511367,Solved
THOXC_JhMcD??t?JA?YIAc_EE?_@WhA@D?PL,21,58,6,8.1129054053,2.1129054053,1.3521509009,Solved
T@OWK_JhMcT?SdXOY??QoG_K?lCOCIIG?A?r,21,58,6,8.1128848942,2.1128848942,1.3521474824,Solved
