g6,n,edges,alpha,theta,gap,ratio,status
U??W?C`A?_oEHcPISIIaCaQ`QChSIcTO`dK?sk??,22,63,6,8.2198827245,2.2198827245,1.3699804541,Solved
UK????@O_gOcGiaMHGpEW`S`IgGx_`kB?xS?ro??,22,64,6,8.2190558190,2.2190558190,1.3698426365,Solved
U???GOOGIGPB`SQgg[cEoKaagg@iI@w@`ROCrGA?,22,64,6,8.2189642713,2.2189642713,1.3698273785,Solved
U@@G??GGOLaHAc`@w?saSad@_`XU@?n@@OpAww??,22,63,6,8.2186026425,2.2186026425,1.3697671071,Solved
U???OGPGhwEWI?D?gXKESQDUCedPAAgcFXO?xg??,22,65,6,8.2185050013,2.2185050013,1.3697508336,Solved
U@GGp?_@GEA_OtQFPDchSXAAaOABGKFAPT?ceCA_,22,65,6,8.2184907363,2.2184907363,1.3697484561,Solved
U?LO?A@_?IaIAsAbA@A@FoOWceaT`@d_Qf?Owb??,22,63,6,8.2179340913,2.2179340913,1.3696556819,Solved
U@GWP?_?oHAOWFUKPKcNChC@@KIcPSo_HCc@_qOG,22,65,6,8.2177294633,2.2177294633,1.3696215772,Solved
U?D_GG_AOSOLCOCdOfR?QQGpOoCSClAOXaU?cwC?,22,63,6,8.2175140431,2.2175140431,1.3695856738,Solved
U?So?A@_?a_iAoC@@T`@eg?wjPAHUAd_RF?Owb??,22,63,6,8.2167962304,2.2167962304,1.3694660384,Solved
U@???CCEWtBo_HOcghPOC`QUEOQb?bBGIg@az_??,22,64,6,8.2161243476,2.2161243476,1.3693540579,Solved
U@???CCEOtBo_XOkGbPOC`QUEOQb?bBGIg@az_??,22,64,6,8.2160900191,2.2160900191,1.3693483365,Solved
UR???E?OKGgca`QQPiA\?GScQ`gjC@Ka?XK@Ib?_,22,64,6,8.2160386136,2.2160386136,1.3693397689,Solved
U`?C@@BCsAGACIG`PC_iBQaCcQkYKAWe?[h?Jb??,22,64,6,8.2153319355,2.2153319355,1.3692219893,Solved
UB???OCC`FCAOHPPHocB`aKOfAHSEcwSARc?rE??,22,64,6,8.2151053716,2.2151053716,1.3691842286,Solved
U?CiA?C@OS`[CIGDCH?c`QGUEBcbQDECR_EOsKG?,22,63,6,8.2145563873,2.2145563873,1.3690927312,Solved
U@@G??G_YA?gOHgBPGS`WWcKeY?lB?sw?ZB?ww??,22,63,6,8.2139590257,2.2139590257,1.3689931709,Solved
U@??G?GC{OgdOa`GbgPAK_gKZDBAQQw?ab_@zC??,22,64,6,8.2135249697,2.2135249697,1.3689208283,Solved
U?Cg?_G@[DCC@`G_QCYcgSEp`GcSgIIYAHBOww??,22,63,6,8.2134737866,2.2134737866,1.3689122978,Solved
UsaC?CDGOaGC@bCkBG_WwGgKiKAg_Ypc@hB?XAW?,22,66,6,8.2132021459,2.2132021459,1.3688670243,Solved
U?D_?GHOSAAGGE_HgD_[KDcY_oPSwAcQIj?_sg_?,22,63,6,8.2131818539,2.2131818539,1.3688636423,Solved
U_Ko_GGGgH@WCOGAs[A_xcSPaIIHICHK@J@@aE__,22,65,6,8.2122875450,2.2122875450,1.3687145908,Solved
U?Ko`CCC?PCAWeb`QHaT``U@CKA`GQBaAHaCg_@o,22,65,6,8.2120166669,2.2120166669,1.3686694445,Solved
U@???CD_A@opEAITCqPT?FcB@A]DEApH@TOOjQ??,22,64,6,8.2117971726,2.2117971726,1.3686328621,Solved
U?GH`gWG?K?A[BUEPWcBWhHPBCA@pAK_aCqCe?@o,22,65,6,8.2112291777,2.2112291777,1.3685381963,Solved
U@???D?_QOoPagHCbCglOIX?moEQAak_QdG_TP_?,22,64,6,8.2109406058,2.2109406058,1.3684901010,Solved
U@??AA@OcQHSbCEKDE?eDGo_S[HGYeGBPUg?jo??,22,64,6,8.2108925836,2.2108925836,1.3684820973,Solved
U@???E?OYCObECHIdH?l@Ih?\gEACuKD@XD?jc??,22,64,6,8.2099558103,2.2099558103,1.3683259684,Solved
U@???CDOKCoGPQEdbI@KHJBBA_ikGDPCDWgOjS??,22,64,6,8.2093311667,2.2093311667,1.3682218611,Solved
U@???CCEOtBo_LOkGhPOC`QUEOQb?bBGIg@az_??,22,64,6,8.2074788312,2.2074788312,1.3679131385,Solved
UQ??WW@@?O_SIKCTAT@GWdBaWoRAhBDQBBAOr?W?,22,64,6,8.2065647311,2.2065647311,1.3677607885,Solved
UsaC?D?AOJCK@kWAbKIG@CfCooO[IHSO`SS@]O_?,22,66,6,8.2046860907,2.2046860907,1.3674476818,Solved
U???GSOGKCgIb@RAOkAT?K?}adBBS@wWATOOUcG?,22,64,6,8.2043020730,2.2043020730,1.3673836788,Solved
U???OGUCooCHHEPaHGS@JRCCx@CkHDEOR?eCyK??,22,64,6,8.2034536102,2.2034536102,1.3672422684,Solved
U@???CC_ICoh`_IAbS_rSFcB@`IaaBPK@dO_j_?_,22,64,6,8.2032628421,2.2032628421,1.3672104737,Solved
