g6,edges,alpha,theta,gap,ratio,theta_ub,status
M?AAD?oq?[TOUOTP?,25,5,5.9405294404,0.9405294404,1.1881058881,6.00260755,Solved
M?AAD@oIag@ke_Fo?,26,5,5.9405293949,0.9405293949,1.1881058790,6.00725660,Solved
M?AADBOF@cDSBQ^??,26,5,5.9405254087,0.9405254087,1.1881050817,6.00834225,Solved
M?AA@_gaRGROF_Dk?,25,5,5.9405242070,0.9405242070,1.1881048414,6.01312823,Solved
M?AA@BORDOIgBoJg?,25,5,5.9405211797,0.9405211797,1.1881042359,6.01589466,Solved
M?AAD@oTDcAwakBY?,28,5,5.9405100099,0.9405100099,1.1881020020,6.00725815,Solved
M?AA@BOJHsJGe_VO?,27,5,5.9405034169,0.9405034169,1.1881006834,6.00584486,Solved
M?AAD?oq?kF_UORW?,25,5,5.9404902052,0.9404902052,1.1880980410,6.01496826,Solved
M?AADBOY@SAwF_TQ?,26,5,5.9404881105,0.9404881105,1.1880976221,6.01825820,Solved
M?AA@AWTDSPWJ_sO_,26,5,5.9404847192,0.9404847192,1.1880969438,6.00299601,Solved
M?AADBOm@LDoTO^??,28,5,5.9404790952,0.9404790952,1.1880958190,6.03541054,Solved
M?AA@BOi?sBgL_qO_,25,5,5.9404570920,0.9404570920,1.1880914184,6.00713046,Solved
M?AAD?c{BWJGEWBs?,27,5,5.9404368269,0.9404368269,1.1880873654,6.01670376,Solved
M?AA@BORDOJGDocs?,25,5,5.9404358345,0.9404358345,1.1880871669,6.00586036,Solved
M?AA@AW[?uJ_i_TO_,26,5,5.9404240575,0.9404240575,1.1880848115,6.03405691,Solved
M?AAD@oI_wHgBwk`?,27,5,5.9404222745,0.9404222745,1.1880844549,6.03370251,Solved
M?AA@aHw@d@wF_}??,27,5,5.9404192313,0.9404192313,1.1880838463,6.00029304,Solved
M?AA@AWT@SeosO}??,26,5,5.9404160728,0.9404160728,1.1880832146,6.01434369,Solved
M?AAD@oIaWUOFOBw?,26,5,5.9404032528,0.9404032528,1.1880806506,6.02024685,Solved
M?AADBOY?wTODoTP?,26,5,5.9403988363,0.9403988363,1.1880797673,6.00622199,Solved
M?AAD@oIaWV?BoSS?,25,5,5.9403984345,0.9403984345,1.1880796869,6.02642386,Solved
M?AAD@Oi?{FOROBw?,26,5,5.9403606651,0.9403606651,1.1880721330,6.02850602,Solved
M?AAD@OM?]TOV?Hg?,25,5,5.9403563000,0.9403563000,1.1880712600,6.03966574,Solved
M?AAD@OM?]TOV?Jg?,26,5,5.9403552082,0.9403552082,1.1880710416,6.04107564,Solved
M?AAD@oR@sUOFOBw?,27,5,5.9403510327,0.9403510327,1.1880702065,6.04552819,Solved
M?AAD@OM?mJ_HgiI?,26,5,5.9403192894,0.9403192894,1.1880638579,6.01622048,Solved
M?AA@BOi@cB_QQBw?,24,5,5.9403105067,0.9403105067,1.1880621013,6.00398267,Solved
M?AA@AWT@cHHN?as?,25,5,5.9403076990,0.9403076990,1.1880615398,6.03189768,Solved
M?AADAoY?[AYV?RH?,26,5,5.9402963710,0.9402963710,1.1880592742,6.00197201,Solved
M?AA@aHX?k\?M_eC?,25,5,5.9402912109,0.9402912109,1.1880582422,6.01593766,Solved
M?AAD?Ws@SCeF_VO?,25,5,5.9402899066,0.9402899066,1.1880579813,6.01714169,Solved
M?AAD?wU?mJGi_Hd?,27,5,5.9402879496,0.9402879496,1.1880575899,6.00169161,Solved
M?AAD@OM?mJ_iGJg?,26,5,5.9402879481,0.9402879481,1.1880575896,6.03732995,Solved
M?AAD?wX?e|?TOEs?,27,5,5.9402879437,0.9402879437,1.1880575887,6.00926055,Solved
M?AADBOF@c@h\?Jg?,26,5,5.9402879427,0.9402879427,1.1880575885,6.01137172,Solved
M?AAD?wXF_HgEoEs?,27,5,5.9402879401,0.9402879401,1.1880575880,6.00945397,Solved
M?AEB?WHJoEoaSBo?,26,5,5.9402763236,0.9402763236,1.1880552647,6.03426788,Solved
M?AAD?oU?k@sQY^??,26,5,5.9402703733,0.9402703733,1.1880540747,6.00719074,Solved
M?AAD?oTEoBoicFo?,27,5,5.9402703717,0.9402703717,1.1880540743,6.00060941,Solved
M?AA@BOJGuV?Bocs?,27,5,5.9402506787,0.9402506787,1.1880501357,6.00538407,Solved
M?AA@BOm?yIgi_Jg?,27,5,5.9402495204,0.9402495204,1.1880499041,6.02520371,Solved
M?AAD@OM@KTOBWUQ?,25,5,5.9402468932,0.9402468932,1.1880493786,6.01621947,Solved
M?AAD@WK`w@wRS{@?,28,5,5.9402447057,0.9402447057,1.1880489411,6.02577159,Solved
M?AAD@OM@K@kUOm_?,25,5,5.9402057577,0.9402057577,1.1880411515,6.02996329,Solved
M?AA@agX?[BOsAas?,25,5,5.9401858883,0.9401858883,1.1880371777,6.00582045,Solved
M?AEB?WTBWAweOXG_,27,5,5.9401540302,0.9401540302,1.1880308060,6.00572200,Solved
M?AEB?WTBHAweO^??,27,5,5.9401479894,0.9401479894,1.1880295979,6.00503053,Solved
M?AAD@oKaqAwqDRS?,28,5,5.9401452782,0.9401452782,1.1880290556,6.00494662,Solved
M?AAD?oq?s@wZ?RW?,25,5,5.9401330231,0.9401330231,1.1880266046,6.00207238,Solved
M?AAD?oX?k@sQYVO?,26,5,5.9401245666,0.9401245666,1.1880249133,6.00988544,Solved
M?ABAaGJCcmC}?BR?,28,5,5.9401229043,0.9401229043,1.1880245809,6.02307816,Solved
M?AAD?WsDSIgJ_Bs?,26,5,5.9401198675,0.9401198675,1.1880239735,6.04450949,Solved
M?AAD?Ws@WTODoTP?,25,5,5.9401096782,0.9401096782,1.1880219356,6.01078186,Solved
M?AAD?oFEoEoAwqH?,26,5,5.9400979469,0.9400979469,1.1880195894,6.00610106,Solved
M?AA@_gaRGQODgN_?,24,5,5.9400914074,0.9400914074,1.1880182815,6.00147656,Solved
M?AAD?oX?yBWakm_?,27,5,5.9400495667,0.9400495667,1.1880099133,6.01735130,Solved
M?AAD?oU@K`sUOM_?,25,5,5.9400315889,0.9400315889,1.1880063178,6.01191506,Solved
M?AADBOY@cBgF_RQ?,26,5,5.9400214477,0.9400214477,1.1880042895,6.00270034,Solved
M?AA@aHX?k\?M_ec?,26,5,5.9400197994,0.9400197994,1.1880039599,6.01905233,Solved
