g6,edges,alpha,theta,gap,ratio,theta_ub,status
L?AEB?wFOm\?\?,24,5,5.6682809605,0.6682809605,1.1336561921,5.82165242,Solved
L?AEB?WHKa~?ZA,24,5,5.6682511257,0.6682511257,1.1336502251,5.80130064,Solved
L?AADBOY@SAoBo,20,5,5.6682470637,0.6682470637,1.1336494127,5.80497656,Solved
L?AA@ag[?kXGN?,21,5,5.6682390510,0.6682390510,1.1336478102,5.81121300,Solved
L?AAD@OLDSFOVO,22,5,5.6680655394,0.6680655394,1.1336131079,5.80024660,Solved
L?AB?qQU@W\?HK,22,5,5.6679959903,0.6679959903,1.1335991981,5.80269714,Solved
L?AAD?wTDSHgL_,22,5,5.6679832187,0.6679832187,1.1335966437,5.80553652,Solved
L?AA@aHY@KZ?N?,21,5,5.6679731801,0.6679731801,1.1335946360,5.82172106,Solved
L?AAFBOM@K@s\?,22,5,5.6679620857,0.6679620857,1.1335924171,5.82676034,Solved
L?AA@agX?sN?as,22,5,5.6679457845,0.6679457845,1.1335891569,5.81988872,Solved
L?ABAaQJ?ZN?u?,23,5,5.6679414131,0.6679414131,1.1335882826,5.81799288,Solved
L?AAD?s[?s@wy?,21,5,5.6679140780,0.6679140780,1.1335828156,5.81430928,Solved
L?AAD@oKaWTOTO,21,5,5.6679021363,0.6679021363,1.1335804273,5.80150838,Solved
L?AADbGJ?lN?L_,23,5,5.6678560596,0.6678560596,1.1335712119,5.80197365,Solved
L?AA@aHi@WI_M_,20,5,5.6678337121,0.6678337121,1.1335667424,5.80337502,Solved
L?AA@agJE_@wM_,21,5,5.6678277810,0.6678277810,1.1335655562,5.81405103,Solved
L?AAD?sY?[N?Dc,21,5,5.6678275103,0.6678275103,1.1335655021,5.80298111,Solved
L?AAD?sY?[N?Ds,22,5,5.6678244600,0.6678244600,1.1335648920,5.80885741,Solved
L?AAFBOM?[L_Fo,23,5,5.6676891823,0.6676891823,1.1335378365,5.80208952,Solved
L?AAD?wTDSEoVO,23,5,5.6676660303,0.6676660303,1.1335332061,5.80247912,Solved
L?AA@r_DfOM_Fg,24,5,5.6676592059,0.6676592059,1.1335318412,5.80856265,Solved
L?AA@bGw?[Aq^?,22,5,5.6676247872,0.6676247872,1.1335249574,5.81613211,Solved
L?AA@aHiB_Ao^?,21,5,5.6675560051,0.6675560051,1.1335112010,5.80026255,Solved
L?AAF?UyDoF_FO,24,5,5.6675527058,0.6675527058,1.1335105412,5.84042514,Solved
L?AADbGY?wEoDc,22,5,5.6674841037,0.6674841037,1.1334968207,5.81342968,Solved
L?AAD?s[?s@w}?,22,5,5.6674839056,0.6674839056,1.1334967811,5.82118497,Solved
L?AADBOY@g@oFo,21,5,5.6674736998,0.6674736998,1.1334947400,5.81083421,Solved
L?AADBOY@S@wN?,21,5,5.6674662460,0.6674662460,1.1334932492,5.81254637,Solved
L?ABAaQT@QDcaS,22,5,5.6674516480,0.6674516480,1.1334903296,5.82464325,Solved
L?ABAaQJ@JZ?V?,23,5,5.6674208804,0.6674208804,1.1334841761,5.82641594,Solved
L?AAD?sYCSI`m_,22,5,5.6673570903,0.6673570903,1.1334714181,5.81279455,Solved
L?AA@aH[@KZ?V?,21,5,5.6673536032,0.6673536032,1.1334707206,5.81057164,Solved
L?AADbGY@cBoDg,22,5,5.6673471842,0.6673471842,1.1334694368,5.83595033,Solved
L?AE@`gNF_@wF_,24,5,5.6673471622,0.6673471622,1.1334694324,5.80921895,Solved
L?AADBOY?wDoBo,21,5,5.6673317659,0.6673317659,1.1334663532,5.82428215,Solved
L?AAD?wTDcHgL_,22,5,5.6673179648,0.6673179648,1.1334635930,5.83125910,Solved
L?AAD@oIawROTC,22,5,5.6672456439,0.6672456439,1.1334491288,5.80122355,Solved
L?AAD?w[?Uj_Fo,23,5,5.6672335390,0.6672335390,1.1334467078,5.82086831,Solved
L?AE@`gNF_BoBq,25,5,5.6671757165,0.6671757165,1.1334351433,5.80186991,Solved
