g6,edges,alpha,theta,gap,ratio,status
L??G`GiQuUYclC,26,5,5.5192765936,0.5192765936,1.1038553187,Solved
L??G`GigAKiMeQ,23,5,5.6796965931,0.6796965931,1.1359393186,Solved
L??G`GwO{EI`i_,22,5,5.6130207678,0.6130207678,1.1226041536,Solved
L??G`GwO{EI`i`,23,5,5.6101259989,0.6101259989,1.1220251998,Solved
L??G`GwO{EJ@h_,22,5,5.6339311739,0.6339311739,1.1267862348,Solved
L??G`GwO{EJ@h`,23,5,5.6293641911,0.6293641911,1.1258728382,Solved
L??G`GwO{KIHi_,22,5,5.6604571022,0.6604571022,1.1320914204,Solved
L??G`GwO{KIHi`,23,5,5.6369218789,0.6369218789,1.1273843758,Solved
L??G`GwPkUJGh_,23,5,5.5382681186,0.5382681186,1.1076536237,Solved
L??G`GwPkUJGh`,24,5,5.5333371548,0.5333371548,1.1066674310,Solved
L??G`GwQAKO]kE,22,5,5.6596194325,0.6596194325,1.1319238865,Solved
L??G`Gw_qglOow,23,5,5.5588656186,0.5588656186,1.1117731237,Solved
L??G`Gw`aalOow,23,5,5.6016623349,0.6016623349,1.1203324670,Solved
L??G`GwcQKlOow,23,5,5.6110107651,0.6110107651,1.1222021530,Solved
L??G`GwdAElOow,23,5,5.5943273387,0.5943273387,1.1188654677,Solved
L??G`GwdAUKQow,23,5,5.5804973228,0.5804973228,1.1160994646,Solved
L??G`GwkAKhWow,23,5,5.5898388995,0.5898388995,1.1179677799,Solved
L??G`HASSKDFmG,22,5,5.6150116582,0.6150116582,1.1230023316,Solved
L??G`HAacgIIII,20,5,5.6387181754,0.6387181754,1.1277436351,Solved
L??G`HAacgIIIJ,21,5,5.6101286769,0.6101286769,1.1220257354,Solved
L??G`HWWcQOo[B,21,5,5.7269705472,0.7269705472,1.1453941094,Solved
L??G`HWWcQos[B,23,5,5.7011277050,0.7011277050,1.1402255410,Solved
L??G`I@P`SIDMK,21,5,5.6739532713,0.6739532713,1.1347906543,Solved
L??G`IBIahHWdD,23,5,5.6223474801,0.6223474801,1.1244694960,Solved
L??G`ICaabLO[K,22,5,5.6416002965,0.6416002965,1.1283200593,Solved
L??G`ICaaqKS[K,22,5,5.6158716263,0.6158716263,1.1231743253,Solved
L??G`IEQuUNClC,26,5,5.5551932665,0.5551932665,1.1110386533,AlmostSolved
L??G`IES[gDPQo,22,5,5.6683419798,0.6683419798,1.1336683960,Solved
L??G`IEauUNC\C,26,5,5.5345518833,0.5345518833,1.1069103767,Solved
L??G`IG`abLO[K,22,5,5.6154126169,0.6154126169,1.1230825234,Solved
L??G`IG`aqKS[K,22,5,5.6534525375,0.6534525375,1.1306905075,Solved
L??G`IJP`oyGx_,24,5,5.4900827849,0.4900827849,1.0980165570,Solved
L??G`IJT@SyGx_,24,5,5.6065725420,0.6065725420,1.1213145084,Solved
L??G`JIeQqSpXc,26,5,5.5365763851,0.5365763851,1.1073152770,Solved
L??G`KgOiaOtmC,23,5,5.5948598275,0.5948598275,1.1189719655,Solved
L??G`KgOkKILmC,23,5,5.6627724531,0.6627724531,1.1325544906,Solved
L??G`KgOkgiKi`,23,5,5.5609115532,0.5609115532,1.1121823106,Solved
L??G`KgOlCIdeS,23,5,5.6296260666,0.6296260666,1.1259252133,Solved
L??G`KgPc`iKi_,22,5,5.6082156509,0.6082156509,1.1216431302,Solved
L??G`KgPc`iKi`,23,5,5.6080673605,0.6080673605,1.1216134721,Solved
L??G`KgPkbZ?x_,24,5,5.5771414508,0.5771414508,1.1154282902,Solved
L??G`KgQaaOtdK,23,5,5.6276542382,0.6276542382,1.1255308476,Solved
L??G`KgSKaGtic,23,5,5.6594094664,0.6594094664,1.1318818933,Solved
L??G`Kg_iagsm@,23,5,5.5880329896,0.5880329896,1.1176065979,Solved
L??G`KiO[gz?x_,24,5,5.4743860760,0.4743860760,1.0948772152,Solved
L??G`KiOaaOfmC,23,5,5.5967430562,0.5967430562,1.1193486112,Solved
L??G`KiOagONmC,23,5,5.5625043017,0.5625043017,1.1125008603,Solved
L??G`KiOagQMiE,23,5,5.6656058157,0.6656058157,1.1331211631,Solved
L??G`KiOcAidmC,23,5,5.6362212864,0.6362212864,1.1272442573,Solved
L??G`KiOcGiLmC,23,5,5.6000043182,0.6000043182,1.1200008636,Solved
L??G`KiOcQickC,22,5,5.6571100429,0.6571100429,1.1314220086,Solved
L??G`KiOcgiKiD,23,5,5.6430260983,0.6430260983,1.1286052197,Solved
L??G`KiOd?ideS,23,5,5.6552185533,0.6552185533,1.1310437107,Solved
L??G`KiPKaz?x_,24,5,5.5132059115,0.5132059115,1.1026411823,Solved
L??G`KiP`oycuO,25,5,5.5394583969,0.5394583969,1.1078916794,Solved
L??G`KiQS`GpkC,22,5,5.6692225678,0.6692225678,1.1338445136,Solved
L??G`KiSKQy_x_,24,5,5.5837201620,0.5837201620,1.1167440324,Solved
L??G`KiSKaGpiD,23,5,5.6986159521,0.6986159521,1.1397231904,Solved
L??G`KiSL_GpaT,23,5,5.6363809647,0.6363809647,1.1272761929,Solved
L??G`KiSS`GpiC,22,5,5.6638554752,0.6638554752,1.1327710950,Solved
L??G`Ki_Iagqm@,23,5,5.5485401231,0.5485401231,1.1097080246,Solved
L??G`Ki_Q`gqm@,23,5,5.6326776759,0.6326776759,1.1265355352,Solved
L??G`Ki_\CI`UC,22,5,5.6670205980,0.6670205980,1.1334041196,Solved
L??G`KicZGpPTH,25,5,5.6796403100,0.6796403100,1.1359280620,Solved
L??G`KoOkRQaY_,22,5,5.6115424074,0.6115424074,1.1223084815,Solved
L??G`KoOkRQaY`,23,5,5.6079163511,0.6079163511,1.1215832702,Solved
L??G`KoPIPQBi_,21,5,5.6863090521,0.6863090521,1.1372618104,Solved
L??G`KoPKDJ@iC,21,5,5.6240939207,0.6240939207,1.1248187841,Solved
L??G`KoPKTJ?gD,21,5,5.6098755051,0.6098755051,1.1219751010,Solved
L??G`KoPKTQAY@,21,5,5.5438421519,0.5438421519,1.1087684304,Solved
L??G`KoPKaHTic,23,5,5.6017951111,0.6017951111,1.1203590222,Solved
L??G`KoPKahSi_,22,5,5.6357266906,0.6357266906,1.1271453381,Solved
L??G`KoPLSHScT,23,5,5.5886739928,0.5886739928,1.1177347986,Solved
L??G`KoPiPQHi_,22,5,5.6059113344,0.6059113344,1.1211822669,Solved
L??G`KoPiaPDi_,22,5,5.6176449569,0.6176449569,1.1235289914,Solved
L??G`KoPkPIHi`,23,5,5.6116488368,0.6116488368,1.1223297674,Solved
L??G`KoQIHR@gc,21,5,5.7051316446,0.7051316446,1.1410263289,Solved
L??G`KoQKLQAY@,21,5,5.6878006116,0.6878006116,1.1375601223,Solved
L??G`KoQKPI`gc,21,5,5.6980595597,0.6980595597,1.1396119119,Solved
L??G`KoQKPI`gd,22,5,5.6928907662,0.6928907662,1.1385781532,Solved
L??G`KoQKTI_gD,21,5,5.6833423395,0.6833423395,1.1366684679,Solved
L??G`KoQKTQAX@,21,5,5.6817238876,0.6817238876,1.1363447775,Solved
L??G`KoQLSGscT,23,5,5.5863226558,0.5863226558,1.1172645312,Solved
L??G`KoQkaGdi`,23,5,5.6131814215,0.6131814215,1.1226362843,Solved
L??G`KoSQLPSiC,22,5,5.6307764075,0.6307764075,1.1261552815,Solved
L??G`KoSQTOsiC,22,5,5.5424824286,0.5424824286,1.1084964857,Solved
L??G`Ko`ITIIi`,23,5,5.5411480610,0.5411480610,1.1082296122,Solved
L??G`Ko`IahSi_,22,5,5.5937553272,0.5937553272,1.1187510654,Solved
L??G`KocDSGuQ[,23,5,5.6515746620,0.6515746620,1.1303149324,Solved
L??G`KsOi_PJia,23,5,5.6284593897,0.6284593897,1.1256918779,Solved
L??G`KsOiaPBi_,22,5,5.6243725396,0.6243725396,1.1248745079,Solved
L??G`KsOkOiHi`,23,5,5.6232308136,0.6232308136,1.1246461627,Solved
L??G`KsOkSIHiC,22,5,5.6355822411,0.6355822411,1.1271164482,Solved
L??G`KsOkSIHiD,23,5,5.6349914960,0.6349914960,1.1269982992,Solved
L??G`KsPAqPUic,24,5,5.6249764422,0.6249764422,1.1249952884,Solved
L??G`KsQkqWo}?,25,5,5.4901290375,0.4901290375,1.0980258075,Solved
L??G`KsSASONic,23,5,5.5612980683,0.5612980683,1.1122596137,Solved
L??G`KsTBSPUuO,25,5,5.5464923423,0.5464923423,1.1092984685,Solved
L??G`Ks_ISiIi_,22,5,5.5691566395,0.5691566395,1.1138313279,Solved
L??G`Ks_ISiIi`,23,5,5.5596234266,0.5596234266,1.1119246853,Solved
L??G`Ks_Q_hUia,23,5,5.5614042195,0.5614042195,1.1122808439,Solved
L??G`KwIeByapg,26,5,5.5540371201,0.5540371201,1.1108074240,Solved
L??G`KwIeawepg,26,5,5.5826571219,0.5826571219,1.1165314244,Solved
L??G`KwOkAi`i_,22,5,5.6240678179,0.6240678179,1.1248135636,Solved
L??G`KwOkAi`i`,23,5,5.6213211736,0.6213211736,1.1242642347,Solved
L??G`KwOkAj@h_,22,5,5.6231162953,0.6231162953,1.1246232591,Solved
L??G`KwOkAj@h`,23,5,5.6209459333,0.6209459333,1.1241891867,Solved
L??G`KwOkGiHi_,22,5,5.5861140597,0.5861140597,1.1172228119,Solved
L??G`KwOkGiHi`,23,5,5.5600868424,0.5600868424,1.1120173685,Solved
L??G`KwOkKIHiC,22,5,5.6728179516,0.6728179516,1.1345635903,Solved
