g6,alpha,theta_ub
L?AA@AWT@cHgF_,5,5.76789367
L?AA@AWT@cHgN_,5,5.74310036
L?AA@AWT@cHgaE,5,5.76558041
L?AA@AWT@cHgaU,5,5.75160379
L?AA@AWT@c@Wu?,5,5.75674609
L?AA@AWT@c@W]?,5,5.77626793
L?AA@AWT@c@WJ?,5,5.76163440
L?AA@AWT@c@WV?,5,5.77209490
L?AA@AWT@c@W^?,5,5.74120985
L?AA@AWT@c@WJ_,5,5.74797596
L?AA@AWT@c@WF_,5,5.77293158
L?AA@AWT@c@WN_,5,5.77886926
L?AA@AWT@c@WsO,5,5.75133598
L?AA@AWT@c@WqO,5,5.74847111
L?AA@AWT@c@WUO,5,5.77461008
L?AA@AWT@c@WRO,5,5.74538526
L?AA@AWT@c@WFO,5,5.77890702
L?AA@AWT@c@WVO,5,5.74469845
L?AA@AWT@c@WDo,5,5.75546021
L?AA@AWT@c@WFo,5,5.74886068
L?AA@AWT@c@WQQ,5,5.76822808
L?AA@AWT@c@W{@,5,5.74303414
L?AA@AWT@cPW{?,5,5.75125733
L?AA@AWT@cPWu?,5,5.76648286
L?AA@AWT@cPWZ?,5,5.74465657
L?AA@AWT@cPW^?,5,5.75932777
L?AA@AWT@cPWF_,5,5.78513175
L?AA@AWT@cPWN_,5,5.78502459
L?AA@AWT@cPWsO,5,5.76465667
L?AA@AWT@cPWuO,5,5.75065179
L?AA@AWT@cPWRO,5,5.74843757
L?AA@AWT@cPWVO,5,5.74609011
L?AA@AWT@cPWQQ,5,5.78466494
L?AA@AWT@cPWqQ,5,5.74718110
L?AA@AWT@cPWBQ,5,5.76278529
L?AA@AWT@cPYN_,5,5.77031574
L?AA@AWT@cX@N_,5,5.79183682
L?AA@AWT@cH`N_,5,5.77179520
L?AA@AWT@cH`aU,5,5.77411741
L?AA@AWT@cPH{?,5,5.78688705
L?AA@AWT@cPH}?,5,5.76477753
L?AA@AWT@cPH^?,5,5.77300394
L?AA@AWT@cHH}?,5,5.78578022
L?AA@AWT@cHH^?,5,5.78392560
L?AA@AWT@cHHeo,5,5.76103493
L?AA@AWT@cHHas,5,5.76976887
L?AA@AWT@cXH}?,5,5.76146041
L?AA@AWT@cXH^?,5,5.77301013
L?AA@AWT@cXHas,5,5.74001599
L?AA@AWT@c@h}?,5,5.74839459
L?AA@AWT@c@h^?,5,5.74498920
L?AA@AWT@cHh}?,5,5.74170301
L?AA@AWT@cHh^?,5,5.74127569
L?AA@AWT@cPJ}?,5,5.75799786
L?AA@AWTDc\?VO,5,5.74060370
L?AA@AWTDc^?RQ,5,5.74670292
L?AA@AWTDcJ_eo,5,5.75409091
L?AA@AWTDcBoVO,5,5.74699970
L?AA@AWTDcXG]?,5,5.76723141
L?AA@AWTDcXG}?,5,5.74400911
L?AA@AWTDcXGL`,5,5.76589667
L?AA@AWTDcHg{?,5,5.76703765
L?AA@AWTDcHgy?,5,5.75816217
L?AA@AWTDcHg]?,5,5.80086520
L?AA@AWTDcHg}?,5,5.77024309
L?AA@AWTDcHg^?,5,5.74461030
L?AA@AWTDcHgaS,5,5.75640015
L?AA@AWT@S]?VO,5,5.76055340
L?AA@AWT@S]?aS,5,5.79292659
L?AA@AWT@S]?As,5,5.80390119
L?AA@AWT@S]?as,5,5.78753359
L?AA@AWT@S]?cQ,5,5.76471779
L?AA@AWT@S]?sQ,5,5.77191794
L?AA@AWT@S\?VO,5,5.77215978
L?AA@AWT@S\?aS,5,5.74603314
L?AA@AWT@S\?sQ,5,5.77391265
L?AA@AWT@SZ?eo,5,5.74057936
L?AA@AWT@SZ?as,5,5.77907494
L?AA@AWT@SN?uO,5,5.77841582
L?AA@AWT@SN?VO,5,5.79608632
L?AA@AWT@SN?eo,5,5.75220423
L?AA@AWT@SN?as,5,5.80355086
L?AA@AWT@SN?sQ,5,5.80905352
L?AA@AWT@SL_uO,5,5.74731076
L?AA@AWT@SL_cQ,5,5.80237648
L?AA@AWT@SL_sQ,5,5.78376432
L?AA@AWT@SJ_eo,5,5.76295780
L?AA@AWT@SJ_as,5,5.74791726
L?AA@AWT@SF_uO,5,5.79488409
