g6,alpha,theta_ub
L?AA@aH[@KZ?V?,5,5.81057164
L?AA@aH[@KZ?N?,5,5.82118904
L?AA@aH[@KZ?^?,5,5.81071592
L?AA@aH[@LZ?^?,5,5.80448191
L?AA@aHXJoROm?,5,5.81070664
L?AA@aHXHwZ?RO,5,5.80372600
L?AA@aHXKsEok_,5,5.81641912
L?AA@aHXKsBoL_,5,5.81903786
L?AA@aHXHsROL_,5,5.84642357
L?AA@aHXHsEoec,5,5.82827632
L?AA@aHXG{Eoec,5,5.80731387
L?AAD`oJCSROXA,5,5.84959254
L?AAD`oJCSROTA,5,5.81716222
L?AAD`oJ?s@wm?,5,5.80727050
L?AAD`oJCc~?RQ,5,5.80046459
L?AADbGy@kFODg,5,5.87511955
L?AADbGy@kFOLg,5,5.81122840
L?AADbGy@kFODk,5,5.81387594
L?AADbGy@kBoDg,5,5.80976254
L?AADbGy?lF_N_,5,5.81007491
L?AADbGy?lFON_,5,5.81617087
L?AADbGy?lFOLg,5,5.81046740
L?AADbGy?lEom_,5,5.83136004
L?AADbGy?lEoN_,5,5.81332671
L?AADbGy?lBoN_,5,5.80662499
L?AEBBo]@wBoBw,5,5.86034294
L?AEBBo]@w@wF_,5,5.88877000
L?AEBBo]@w@wN_,5,5.81509978
L?AEBBo]@w@wFo,5,5.83804380
L?AEBBo]@sBoBw,5,5.82927375
L?AEBBo]@[@wN_,5,5.80027621
L?AEBBo]?{@w^?,5,5.82374497
L?AEBBo]?y@w^?,5,5.80807926
L?AEB?WTF_@wN_,5,5.80464712
L?AEB?WT@KQHDo,5,5.80482602
L?AB?qQZEoN_HY,5,5.80019468
L?AB?oYs@WCioI,5,5.80056971
L?`@?b_YCgBc?u,5,5.81340092
L?`@?b_UEc@[_s,5,5.80220888
L?`@?b_U?xOil?,5,5.80193884
L?`@?b_JAoOg?N,5,5.83812866
L?`DE`gl@YJODg,4,5.19428728
